energy,std_error,variance,accept_rate,sem_energy,sem_std_error,sem_variance,sem_accept_rate,nparticles,dim,eta,scale,nvisible,nhidden,mcmc_alg,nsamples,training_cycles,training_batch
3.188496559115314,0.009629113672734519,2.921865100715872,0.26367664337158203,0.004348351020380606,0.001297753183859073,0.6594837343098479,0.0003491443593293077,2,2,0.05,1.0,4,1,rwm,262144,1000000,1000
3.075402384045848,0.012135565177593888,4.722459564338652,0.29647207260131836,0.0038229399554354213,0.003124914616126531,1.3848406204993622,0.0004024156527530161,2,2,0.05,1.0,4,2,rwm,262144,1000000,1000
3.07146509892738,0.008675544603210399,2.6943174984874454,0.3038144111633301,0.0029923145179606425,0.0006874390555199061,0.24392512536709215,0.00045554066204516006,2,2,0.05,1.0,4,3,rwm,262144,1000000,1000
3.102269852646244,0.010132932902250959,3.2771585392667246,0.29334068298339844,0.003580238221101275,0.0006259462231463462,0.5136349133665902,0.0004557086593691448,2,2,0.05,1.0,4,4,rwm,262144,1000000,1000
3.1166593366127318,0.009870262884514645,3.4016880022827998,0.29135656356811523,0.0032395090423854387,0.000690396158561464,0.7001705513913706,0.00043264508874109195,2,2,0.05,1.0,4,5,rwm,262144,1000000,1000
3.093847117639444,0.008853873897192777,2.376350398910959,0.3046422004699707,0.003007488958229309,0.0007512469654956463,0.32353698598356717,0.0005156177263738177,2,2,0.05,1.0,4,6,rwm,262144,1000000,1000
3.0695744736078665,0.012879081668358786,6.090344774371225,0.3019123077392578,0.003540027306311114,0.003582594659540289,2.9171163503532718,0.00040622048287952315,2,2,0.05,1.0,4,7,rwm,262144,1000000,1000
3.06208594825972,0.009447043223419885,3.2970731915808615,0.3045992851257324,0.0023773508384255593,0.0005545922258616312,0.7738554009989121,0.00036768491571796485,2,2,0.05,1.0,4,8,rwm,262144,1000000,1000
