energy,std_error,variance,accept_rate,sem_energy,sem_std_error,sem_variance,sem_accept_rate,nparticles,dim,eta,scale,nvisible,nhidden,mcmc_alg,nsamples,training_cycles,training_batch
0.499996462856512,3.3636973100167038e-06,1.4392051381033333e-06,0.5786399841308594,1.195458669063452e-06,1.77278335138002e-08,6.8529516398236086e-09,0.00045813874364664223,1,1,0.5,1.3,1,1,lmh,262144,500000,1000
0.4999972416906212,2.6448962923132476e-06,6.252425802551198e-07,0.5784015655517578,8.042957050648826e-07,1.6962969322531327e-08,3.3477755572833274e-09,0.00021714475199441428,1,1,0.5,1.3,1,2,lmh,262144,500000,1000
0.49998991042167074,6.389553645939672e-06,3.7943036837496946e-06,0.5789413452148438,1.8958147044027232e-06,2.902117090764921e-08,1.5556139263869502e-08,0.00030505654866828545,1,1,0.5,1.3,1,3,lmh,262144,500000,1000
0.49997546237805135,1.2200736226714066e-05,1.6384158821391298e-05,0.5806293487548828,4.502016341593929e-06,4.643318938519022e-08,1.1549274460168701e-07,0.0002705699298843514,1,1,0.5,1.3,1,4,lmh,262144,500000,1000
