max_iter,t_rwm_numpy,t_lmh_numpy,t_rwm_jax,t_lmh_jax
10000,1.5675337314605713,1.851135015487671,3.837610960006714,6.382975339889526
20000,3.155998945236206,3.6597650051116943,7.255697250366211,12.245863914489746
30000,4.633634090423584,5.585945129394531,10.643677949905396,18.218708038330078
40000,6.210212707519531,7.358633995056152,14.06834101676941,24.08766794204712
